FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1973-12-01;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;4.0;;12.0;;;;;;;;;;
1973-12-02;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.0;12.5;2.0;;16.0;;;;;;;;;;
1973-12-03;0229I;SABADELL AEROPUERTO;BARCELONA;146;1.5;0.0;-2.0;;5.0;;;;;;;;;;
1973-12-04;0229I;SABADELL AEROPUERTO;BARCELONA;146;2.0;0.0;-5.0;;9.0;;;;;;;;;;
1973-12-05;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;0.0;-1.0;;15.0;;;;;;;;;;
1973-12-06;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;0.0;;15.0;;;;;;;;;;
1973-12-07;0229I;SABADELL AEROPUERTO;BARCELONA;146;3.5;0.0;-2.0;;9.0;;;;;;;;;;
1973-12-08;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;0.0;4.0;;10.0;;;;;;;;;;
1973-12-09;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;4.0;;12.0;;;;;;;;;;
1973-12-10;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;4.0;;12.0;;;;;;;;;;
1973-12-11;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-4.0;;12.0;;;;;;;;;;
1973-12-12;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;2.0;;8.0;;;;;;;;;;
1973-12-13;0229I;SABADELL AEROPUERTO;BARCELONA;146;3.0;0.0;-5.0;;11.0;;;;;;;;;;
1973-12-14;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;-5.0;;16.0;;;;;;;;;;
1973-12-15;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;-1.0;;14.0;;;;;;;;;;
1973-12-16;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;7.0;;12.0;;;;;;;;;;
1973-12-17;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;0.0;;12.0;;;;;;;;;;
1973-12-18;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;8.0;-2.0;;10.0;;;;;;;;;;
1973-12-19;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;18.0;1.0;;12.0;;;;;;;;;;
1973-12-20;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;38.0;5.0;;6.0;;;;;;;;;;
1973-12-21;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.0;2.0;5.0;;13.0;;;;;;;;;;
1973-12-22;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;7.0;;12.0;;;;;;;;;;
1973-12-23;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;15.0;0.0;;12.0;;;;;;;;;;
1973-12-24;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.5;88.0;5.0;;12.0;;;;;;;;;;
1973-12-25;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.0;14.0;7.0;;11.0;;;;;;;;;;
1973-12-26;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;0.0;2.0;;12.0;;;;;;;;;;
1973-12-27;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;1.0;;11.0;;;;;;;;;;
1973-12-28;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-2.0;;10.0;;;;;;;;;;
1973-12-29;0229I;SABADELL AEROPUERTO;BARCELONA;146;3.5;0.0;-2.0;;9.0;;;;;;;;;;
1973-12-30;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;11.0;-2.0;;11.0;;;;;;;;;;
1973-12-31;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;2.0;;11.0;;;;;;;;;;
1974-01-01;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-1.0;;9.0;;;;;;;;;;
1974-01-02;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-1.0;;9.0;;;;;;;;;;
1974-01-03;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;0.0;-2.0;;11.0;;;;;;;;;;
1974-01-04;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;-1.0;;12.0;;;;;;;;;;
1974-01-05;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;0.0;;12.0;;;;;;;;;;
1974-01-06;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;0.0;0.0;;14.0;;;;;;;;;;
1974-01-07;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;1.0;3.0;;19.0;;;;;;;;;;
1974-01-08;0229I;SABADELL AEROPUERTO;BARCELONA;146;10.0;1.0;5.0;;15.0;;;;;;;;;;
1974-01-09;0229I;SABADELL AEROPUERTO;BARCELONA;146;14.0;0.0;12.0;;16.0;;;;;;;;;;
1974-01-10;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;4.0;;15.0;;;;;;;;;;
1974-01-11;0229I;SABADELL AEROPUERTO;BARCELONA;146;12.0;0.0;4.0;;20.0;;;;;;;;;;
1974-01-12;0229I;SABADELL AEROPUERTO;BARCELONA;146;12.0;0.0;4.0;;20.0;;;;;;;;;;
1974-01-13;0229I;SABADELL AEROPUERTO;BARCELONA;146;10.5;0.0;6.0;;15.0;;;;;;;;;;
1974-01-14;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;6.0;;16.0;;;;;;;;;;
1974-01-15;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;2.0;;17.0;;;;;;;;;;
1974-01-16;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;2.0;;17.0;;;;;;;;;;
1974-01-17;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.5;0.0;2.0;;15.0;;;;;;;;;;
1974-01-18;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;-1.0;;13.0;;;;;;;;;;
1974-01-19;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;0.0;0.0;;14.0;;;;;;;;;;
1974-01-20;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;-2.0;;15.0;;;;;;;;;;
1974-01-21;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;-3.0;;15.0;;;;;;;;;;
1974-01-22;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-2.0;;12.0;;;;;;;;;;
1974-01-23;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;-3.0;;14.0;;;;;;;;;;
1974-01-24;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-4.0;;14.0;;;;;;;;;;
1974-01-25;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;-3.0;;14.0;;;;;;;;;;
1974-01-26;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-1.0;;11.0;;;;;;;;;;
1974-01-27;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;0.0;;13.0;;;;;;;;;;
1974-01-28;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.5;2.0;1.0;;16.0;;;;;;;;;;
1974-01-29;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;0.0;;11.0;;;;;;;;;;
1974-01-30;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;2.0;-2.0;;10.0;;;;;;;;;;
1974-01-31;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;2.0;-1.0;;12.0;;;;;;;;;;
1974-02-01;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;1.0;;14.0;;;;;;;;;;
1974-02-02;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;21.0;3.0;;12.0;;;;;;;;;;
1974-02-03;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;2.0;;14.0;;;;;;;;;;
1974-02-04;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;3.0;;12.0;;;;;;;;;;
1974-02-05;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;1.0;;15.0;;;;;;;;;;
1974-02-06;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;6.0;;16.0;;;;;;;;;;
1974-02-07;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;5.0;;14.0;;;;;;;;;;
1974-02-08;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-3.0;;13.0;;;;;;;;;;
1974-02-09;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.8;0.0;-2.0;;17.5;;;;;;;;;;
1974-02-10;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.5;0.0;0.0;;17.0;;;;;;;;;;
1974-02-11;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;0.0;;16.0;;;;;;;;;;
1974-02-12;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;5.0;;14.0;;;;;;;;;;
1974-02-13;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.0;0.0;5.0;;13.0;;;;;;;;;;
1974-02-14;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.0;0.0;3.0;;15.0;;;;;;;;;;
1974-02-15;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;8.0;0.0;;14.0;;;;;;;;;;
1974-02-16;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;1.0;1.0;;13.0;;;;;;;;;;
1974-02-17;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;1.0;;10.0;;;;;;;;;;
1974-02-18;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;2.0;;11.0;;;;;;;;;;
1974-02-19;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;6.0;;9.0;;;;;;;;;;
1974-02-20;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;1.0;2.0;;10.0;;;;;;;;;;
1974-02-21;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;0.0;;15.0;;;;;;;;;;
1974-02-22;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-2.0;;12.0;;;;;;;;;;
1974-02-23;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;0.0;-1.0;;14.0;;;;;;;;;;
1974-02-24;0229I;SABADELL AEROPUERTO;BARCELONA;146;3.5;Ip;-3.0;;10.0;;;;;;;;;;
1974-02-25;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;0.0;-3.0;;12.0;;;;;;;;;;
1974-02-26;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;0.0;-3.0;;12.0;;;;;;;;;;
1974-02-27;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-3.0;;11.0;;;;;;;;;;
1974-02-28;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;0.0;0.0;;9.0;;;;;;;;;;
1974-03-01;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.5;0.0;1.0;;16.0;;;;;;;;;;
1974-03-02;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;2.0;2.0;;9.0;;;;;;;;;;
1974-03-03;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.5;0.0;4.0;;11.0;;;;;;;;;;
1974-03-04;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.5;0.0;-2.0;;11.0;;;;;;;;;;
1974-03-05;0229I;SABADELL AEROPUERTO;BARCELONA;146;3.2;0.0;-4.5;;11.0;;;;;;;;;;
1974-03-06;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.0;0.0;-3.0;;15.0;;;;;;;;;;
1974-03-07;0229I;SABADELL AEROPUERTO;BARCELONA;146;4.0;0.0;-4.0;;12.0;;;;;;;;;;
1974-03-08;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.0;0.0;-3.0;;13.0;;;;;;;;;;
1974-03-09;0229I;SABADELL AEROPUERTO;BARCELONA;146;5.5;0.0;-2.0;;13.0;;;;;;;;;;
1974-03-10;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;8.0;0.0;;13.0;;;;;;;;;;
1974-03-11;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;33.0;2.0;;11.0;;;;;;;;;;
1974-03-12;0229I;SABADELL AEROPUERTO;BARCELONA;146;10.5;0.0;7.0;;14.0;;;;;;;;;;
1974-03-13;0229I;SABADELL AEROPUERTO;BARCELONA;146;6.5;6.0;3.0;;10.0;;;;;;;;;;
1974-03-14;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;6.0;;16.0;;;;;;;;;;
1974-03-15;0229I;SABADELL AEROPUERTO;BARCELONA;146;8.0;0.0;2.0;;14.0;;;;;;;;;;
1974-03-16;0229I;SABADELL AEROPUERTO;BARCELONA;146;13.0;0.0;2.0;;24.0;;;;;;;;;;
1974-03-17;0229I;SABADELL AEROPUERTO;BARCELONA;146;16.0;0.0;8.0;;24.0;;;;;;;;;;
1974-03-18;0229I;SABADELL AEROPUERTO;BARCELONA;146;14.5;0.0;7.0;;22.0;;;;;;;;;;
1974-03-19;0229I;SABADELL AEROPUERTO;BARCELONA;146;10.5;0.0;5.0;;16.0;;;;;;;;;;
1974-03-20;0229I;SABADELL AEROPUERTO;BARCELONA;146;13.0;8.0;10.0;;16.0;;;;;;;;;;
1974-03-21;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.5;27.0;11.0;;12.0;;;;;;;;;;
1974-03-22;0229I;SABADELL AEROPUERTO;BARCELONA;146;7.0;5.0;2.0;;12.0;;;;;;;;;;
1974-03-23;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;7.0;;15.0;;;;;;;;;;
1974-03-24;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;4.0;;18.0;;;;;;;;;;
1974-03-25;0229I;SABADELL AEROPUERTO;BARCELONA;146;9.5;0.0;3.0;;16.0;;;;;;;;;;
1974-03-26;0229I;SABADELL AEROPUERTO;BARCELONA;146;13.5;0.0;7.0;;20.0;;;;;;;;;;
1974-03-27;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.5;0.0;7.0;;16.0;;;;;;;;;;
1974-03-28;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.0;0.0;6.0;;16.0;;;;;;;;;;
1974-03-29;0229I;SABADELL AEROPUERTO;BARCELONA;146;11.5;0.0;6.0;;17.0;;;;;;;;;;
