FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2009-03-16;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.8;0.0;2.1;01:35;19.6;13:00;13;0.3;8.3;12:20;;;;;
2009-03-17;1002Y;BAZTAN, IRURITA;NAVARRA;183;11.4;0.0;1.5;Varias;21.3;14:10;99;0.6;8.6;Varias;;;;;
2009-03-18;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.5;0.0;1.1;05:40;23.9;15:40;18;0.8;5.0;16:50;;;;;
2009-03-19;1002Y;BAZTAN, IRURITA;NAVARRA;183;11.9;0.0;1.0;06:30;22.8;12:55;27;0.8;7.5;14:30;;;;;
2009-03-20;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.7;0.0;-0.5;06:10;19.9;12:40;16;1.4;6.7;14:00;;;;;
2009-03-21;1002Y;BAZTAN, IRURITA;NAVARRA;183;6.5;0.0;-2.0;06:00;15.0;13:00;99;1.1;7.5;Varias;;;;;
2009-03-22;1002Y;BAZTAN, IRURITA;NAVARRA;183;5.8;0.0;-3.0;05:25;14.6;14:10;16;1.4;8.1;16:10;;;;;
2009-03-23;1002Y;BAZTAN, IRURITA;NAVARRA;183;6.4;0.0;-3.1;Varias;15.9;14:35;16;1.1;6.7;12:40;;;;;
2009-03-24;1002Y;BAZTAN, IRURITA;NAVARRA;183;4.6;1.7;-1.2;04:20;10.4;14:20;26;1.1;8.1;13:30;;;;;
2009-03-25;1002Y;BAZTAN, IRURITA;NAVARRA;183;6.4;0.0;-0.4;05:00;13.1;16:00;09;1.7;8.3;17:10;;;;;
2009-03-26;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.0;0.0;1.3;06:10;18.8;14:00;16;0.8;6.4;15:00;;;;;
2009-03-27;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.0;0.2;1.0;03:00;17.1;14:10;18;1.1;5.3;Varias;;;;;
2009-03-28;1002Y;BAZTAN, IRURITA;NAVARRA;183;6.4;3.1;3.8;23:20;8.9;04:20;36;1.4;10.6;05:50;;;;;
2009-03-29;1002Y;BAZTAN, IRURITA;NAVARRA;183;7.0;0.3;4.1;Varias;10.0;16:20;01;1.4;8.9;10:20;;;;;
2009-03-30;1002Y;BAZTAN, IRURITA;NAVARRA;183;5.2;0.0;-1.1;Varias;11.6;14:20;34;1.1;9.4;18:20;;;;;
2009-03-31;1002Y;BAZTAN, IRURITA;NAVARRA;183;8.0;0.0;3.8;06:30;12.3;11:50;36;1.7;7.5;12:00;;;;;
2009-04-01;1002Y;BAZTAN, IRURITA;NAVARRA;183;7.1;0.0;1.9;Varias;12.3;12:40;36;1.9;7.8;10:30;;;;;
2009-04-02;1002Y;BAZTAN, IRURITA;NAVARRA;183;6.2;0.0;0.9;02:40;11.6;10:30;36;0.3;6.1;10:50;;;;;
2009-04-03;1002Y;BAZTAN, IRURITA;NAVARRA;183;7.7;0.0;3.0;23:59;12.4;Varias;36;0.6;4.2;15:10;;;;;
2009-04-04;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.7;0.2;2.4;01:50;17.0;12:40;20;0.6;7.5;14:30;;;;;
2009-04-05;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.2;0.0;4.2;23:50;16.1;13:20;09;1.7;6.7;15:20;;;;;
2009-04-06;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.4;25.3;2.5;04:30;22.2;13:30;35;0.8;9.2;11:10;;;;;
2009-04-07;1002Y;BAZTAN, IRURITA;NAVARRA;183;8.2;4.8;5.5;Varias;10.9;13:20;18;1.1;6.4;13:50;;;;;
2009-04-08;1002Y;BAZTAN, IRURITA;NAVARRA;183;7.9;0.0;2.5;23:50;13.3;Varias;18;0.8;4.7;11:50;;;;;
2009-04-09;1002Y;BAZTAN, IRURITA;NAVARRA;183;11.8;0.1;2.6;06:10;21.0;15:30;36;1.7;12.5;14:40;;;;;
2009-04-10;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.8;;3.7;16:00;16.0;Varias;02;0.3;9.2;05:10;;;;;
2009-04-14;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.8;;2.8;01:20;18.9;12:40;02;0.8;10.3;12:00;;;;;
2009-04-15;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.0;2.7;3.8;23:50;14.3;12:00;20;0.8;10.0;11:00;;;;;
2009-04-16;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.0;2.3;3.4;Varias;16.7;13:50;36;1.4;9.4;12:30;;;;;
2009-04-17;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.0;0.0;2.1;23:55;15.8;14:40;34;0.8;6.7;15:20;;;;;
2009-04-18;1002Y;BAZTAN, IRURITA;NAVARRA;183;8.8;0.0;-0.2;Varias;17.9;Varias;99;0.8;6.4;Varias;;;;;
2009-04-19;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.0;12.7;5.1;02:30;15.0;15:00;17;0.8;8.1;11:00;;;;;
2009-04-20;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.1;;7.8;Varias;12.4;16:15;34;0.6;5.3;13:40;;;;;
2009-04-21;1002Y;BAZTAN, IRURITA;NAVARRA;183;;0.0;;;;;;1.1;;;;;;;
2009-04-22;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.8;0.0;4.4;Varias;17.3;14:40;02;1.1;7.8;17:00;;;;;
2009-04-23;1002Y;BAZTAN, IRURITA;NAVARRA;183;13.6;0.0;4.2;01:20;23.0;15:30;16;0.0;4.7;14:10;;;;;
2009-04-24;1002Y;BAZTAN, IRURITA;NAVARRA;183;13.4;3.1;1.8;Varias;25.0;12:00;02;1.4;8.1;15:40;;;;;
2009-04-25;1002Y;BAZTAN, IRURITA;NAVARRA;183;8.3;20.4;6.7;23:55;9.9;Varias;32;0.6;3.6;17:10;;;;;
2009-04-28;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.4;6.8;7.4;Varias;13.4;12:10;36;1.4;9.2;17:40;;;;;
2009-04-29;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.1;5.8;5.7;22:40;14.5;16:50;30;0.6;4.7;00:20;;;;;
2009-04-30;1002Y;BAZTAN, IRURITA;NAVARRA;183;11.5;12.0;6.0;Varias;17.0;11:20;23;0.3;5.0;22:50;;;;;
2009-05-01;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.0;0.4;7.4;Varias;12.7;10:50;33;1.1;7.5;11:20;;;;;
2009-05-02;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.0;0.0;7.7;Varias;16.2;14:55;02;0.6;6.7;15:40;;;;;
2009-05-03;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.2;0.2;5.9;03:25;18.5;15:00;34;1.1;7.8;16:40;;;;;
2009-05-04;1002Y;BAZTAN, IRURITA;NAVARRA;183;10.3;0.4;7.6;21:35;13.0;Varias;36;0.6;5.6;15:10;;;;;
2009-05-05;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.0;0.0;6.1;23:50;17.9;14:10;34;0.3;7.2;14:20;;;;;
2009-05-06;1002Y;BAZTAN, IRURITA;NAVARRA;183;16.0;0.0;5.9;01:20;26.1;14:20;11;1.4;6.1;14:50;;;;;
2009-05-07;1002Y;BAZTAN, IRURITA;NAVARRA;183;14.2;8.8;8.7;05:05;19.8;10:50;07;0.8;6.1;12:40;;;;;
2009-05-08;1002Y;BAZTAN, IRURITA;NAVARRA;183;12.4;0.5;9.6;22:20;15.1;10:40;02;0.0;4.7;19:00;;;;;
2009-05-09;1002Y;BAZTAN, IRURITA;NAVARRA;183;18.2;8.9;10.5;Varias;26.0;14:20;22;0.3;11.1;11:10;;;;;
2009-05-10;1002Y;BAZTAN, IRURITA;NAVARRA;183;18.0;3.6;13.2;23:30;22.9;13:20;30;0.8;6.4;14:50;;;;;
2009-05-11;1002Y;BAZTAN, IRURITA;NAVARRA;183;19.4;;11.6;Varias;27.1;13:50;16;1.1;13.3;14:50;;;;;
2009-05-15;1002Y;BAZTAN, IRURITA;NAVARRA;183;9.6;1.0;5.2;23:50;14.0;16:40;18;0.6;7.5;09:20;;;;;
2009-05-16;1002Y;BAZTAN, IRURITA;NAVARRA;183;14.7;0.0;4.6;Varias;24.8;14:00;18;1.1;8.1;14:00;;;;;
2009-05-17;1002Y;BAZTAN, IRURITA;NAVARRA;183;13.6;0.4;9.5;05:30;17.6;15:40;29;0.3;6.9;09:00;;;;;
2009-05-18;1002Y;BAZTAN, IRURITA;NAVARRA;183;13.6;0.0;9.1;23:59;18.0;12:00;16;1.1;6.1;12:50;;;;;
2009-05-19;1002Y;BAZTAN, IRURITA;NAVARRA;183;14.0;0.0;7.6;01:30;20.3;10:40;29;0.8;5.0;12:10;;;;;
2009-05-20;1002Y;BAZTAN, IRURITA;NAVARRA;183;18.4;2.1;8.4;02:30;28.5;13:00;34;0.8;9.7;17:00;;;;;
2009-05-21;1002Y;BAZTAN, IRURITA;NAVARRA;183;15.8;0.0;13.5;04:50;18.2;16:10;34;0.3;3.3;21:40;;;;;
