FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1997-04-01;1050J;ELGOIBAR;GIPUZKOA;119;9.7;0.0;3.1;06:30;16.3;11:00;01;1.4;6.9;12:30;;;;;
1997-04-02;1050J;ELGOIBAR;GIPUZKOA;119;9.3;0.0;2.7;06:10;15.9;12:50;35;1.4;8.1;14:30;;;;;
1997-04-03;1050J;ELGOIBAR;GIPUZKOA;119;11.2;0.0;3.7;06:25;18.8;11:50;07;1.4;9.2;17:20;;;;;
1997-04-04;1050J;ELGOIBAR;GIPUZKOA;119;9.0;0.0;5.6;23:50;12.3;Varias;32;1.1;6.4;09:20;;;;;
1997-04-05;1050J;ELGOIBAR;GIPUZKOA;119;8.8;0.0;4.2;06:20;13.4;Varias;04;1.4;8.6;15:30;;;;;
1997-04-06;1050J;ELGOIBAR;GIPUZKOA;119;9.4;0.0;2.3;05:50;16.6;Varias;21;1.4;8.9;13:50;;;;;
1997-04-07;1050J;ELGOIBAR;GIPUZKOA;119;11.2;0.0;4.7;05:55;17.6;12:40;02;1.4;7.8;13:20;;;;;
1997-04-08;1050J;ELGOIBAR;GIPUZKOA;119;17.6;0.0;14.1;00:30;21.0;12:50;12;3.6;18.3;15:30;;;;;
1997-04-09;1050J;ELGOIBAR;GIPUZKOA;119;15.3;0.0;11.3;21:10;19.3;Varias;09;4.2;15.6;07:40;;;;;
1997-04-10;1050J;ELGOIBAR;GIPUZKOA;119;14.1;0.0;8.0;23:45;20.2;11:00;16;2.8;12.5;03:00;;;;;
1997-04-11;1050J;ELGOIBAR;GIPUZKOA;119;13.2;0.0;5.2;06:05;21.2;10:40;35;0.8;6.4;13:50;;;;;
1997-04-12;1050J;ELGOIBAR;GIPUZKOA;119;10.6;0.0;4.5;05:50;16.8;11:50;03;1.4;7.2;12:30;;;;;
1997-04-13;1050J;ELGOIBAR;GIPUZKOA;119;8.6;0.0;2.9;06:00;14.2;10:50;02;1.7;6.4;14:40;;;;;
1997-04-14;1050J;ELGOIBAR;GIPUZKOA;119;9.2;0.0;1.4;05:30;16.9;10:40;35;1.7;7.2;Varias;;;;;
1997-04-15;1050J;ELGOIBAR;GIPUZKOA;119;11.2;0.0;3.6;06:00;18.8;12:20;34;1.4;7.8;14:40;;;;;
1997-04-16;1050J;ELGOIBAR;GIPUZKOA;119;11.4;0.2;3.9;05:40;18.9;10:30;01;1.7;8.9;13:10;;;;;
1997-04-17;1050J;ELGOIBAR;GIPUZKOA;119;10.1;0.1;4.2;05:30;16.0;10:30;02;1.1;8.3;12:10;;;;;
1997-04-18;1050J;ELGOIBAR;GIPUZKOA;119;9.4;2.9;6.4;01:20;12.3;11:50;09;0.3;7.5;12:10;;;;;
1997-04-19;1050J;ELGOIBAR;GIPUZKOA;119;10.7;4.9;8.3;04:30;13.1;12:00;01;1.1;5.0;12:40;;;;;
1997-04-20;1050J;ELGOIBAR;GIPUZKOA;119;10.7;0.2;8.6;23:40;12.8;Varias;01;2.2;8.1;11:20;;;;;
1997-04-21;1050J;ELGOIBAR;GIPUZKOA;119;7.6;0.0;3.8;05:10;11.3;13:10;03;1.9;8.9;14:50;;;;;
1997-04-22;1050J;ELGOIBAR;GIPUZKOA;119;8.2;0.0;3.0;23:50;13.4;10:10;05;1.7;7.2;12:00;;;;;
1997-04-23;1050J;ELGOIBAR;GIPUZKOA;119;8.4;0.0;1.0;04:00;15.7;12:10;35;1.7;7.2;13:50;;;;;
