FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1983-04-01;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-02;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-03;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-04;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-05;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-06;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-07;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-08;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-09;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-10;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-11;1437O;MONTE IROITE;A CORUÑA;685;;0.5;;;;;;;;;;;;;
1983-04-12;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-13;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-14;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-15;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-16;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-17;1437O;MONTE IROITE;A CORUÑA;685;;17.8;;;;;;;;;;;;;
1983-04-18;1437O;MONTE IROITE;A CORUÑA;685;;12.0;;;;;;;;;;;;;
1983-04-19;1437O;MONTE IROITE;A CORUÑA;685;;19.0;;;;;;;;;;;;;
1983-04-20;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-21;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-22;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-23;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-24;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-25;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-26;1437O;MONTE IROITE;A CORUÑA;685;;5.0;;;;;;;;;;;;;
1983-04-27;1437O;MONTE IROITE;A CORUÑA;685;;3.3;;;;;;;;;;;;;
1983-04-28;1437O;MONTE IROITE;A CORUÑA;685;;21.2;;;;;;;;;;;;;
1983-04-29;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-04-30;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-01;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-02;1437O;MONTE IROITE;A CORUÑA;685;;2.3;;;;;;;;;;;;;
1983-05-03;1437O;MONTE IROITE;A CORUÑA;685;;25.0;;;;;;;;;;;;;
1983-05-04;1437O;MONTE IROITE;A CORUÑA;685;;16.7;;;;;;;;;;;;;
1983-05-05;1437O;MONTE IROITE;A CORUÑA;685;;8.3;;;;;;;;;;;;;
1983-05-06;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-07;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-08;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-09;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-10;1437O;MONTE IROITE;A CORUÑA;685;;29.5;;;;;;;;;;;;;
1983-05-11;1437O;MONTE IROITE;A CORUÑA;685;;51.5;;;;;;;;;;;;;
1983-05-12;1437O;MONTE IROITE;A CORUÑA;685;;15.5;;;;;;;;;;;;;
1983-05-13;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-14;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-15;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-16;1437O;MONTE IROITE;A CORUÑA;685;;31.5;;;;;;;;;;;;;
1983-05-17;1437O;MONTE IROITE;A CORUÑA;685;;14.5;;;;;;;;;;;;;
1983-05-18;1437O;MONTE IROITE;A CORUÑA;685;;5.7;;;;;;;;;;;;;
1983-05-19;1437O;MONTE IROITE;A CORUÑA;685;;2.5;;;;;;;;;;;;;
1983-05-20;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
1983-05-21;1437O;MONTE IROITE;A CORUÑA;685;;0.0;;;;;;;;;;;;;
