FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2001-09-22;3434X;NAVALMORAL DE LA MATA;CACERES;269;20.2;1.4;16.4;Varias;24.0;13:00;24;2.2;13.1;14:40;;;;;
2001-09-23;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.2;0.1;16.0;02:00;20.4;16:30;25;3.6;10.0;11:30;;;;;
2001-09-24;3434X;NAVALMORAL DE LA MATA;CACERES;269;19.6;0.0;14.3;06:20;24.9;15:20;24;3.1;10.0;13:50;;;;;
2001-09-25;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.8;0.0;9.3;06:25;26.4;15:00;24;0.8;4.7;02:50;;;;;
2001-09-26;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.4;0.0;9.3;06:05;27.4;15:40;12;1.9;6.9;10:40;;;;;
2001-09-27;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.4;0.3;10.2;05:30;26.6;13:50;03;1.4;5.6;10:30;;;;;
2001-09-28;3434X;NAVALMORAL DE LA MATA;CACERES;269;21.2;6.5;16.8;23:30;25.5;15:30;21;1.1;8.3;13:30;;;;;
2001-09-29;3434X;NAVALMORAL DE LA MATA;CACERES;269;20.0;;16.1;05:00;23.8;15:40;18;1.4;5.0;19:00;;;;;
2001-10-02;3434X;NAVALMORAL DE LA MATA;CACERES;269;22.2;0.0;13.8;06:30;30.5;15:10;19;2.2;8.6;15:30;;;;;
2001-10-03;3434X;NAVALMORAL DE LA MATA;CACERES;269;20.0;0.0;13.4;23:50;26.7;15:30;25;3.3;8.9;13:00;;;;;
2001-10-04;3434X;NAVALMORAL DE LA MATA;CACERES;269;19.8;0.0;10.6;06:40;28.9;15:10;10;0.6;5.8;10:20;;;;;
2001-10-05;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.3;21.4;14.2;01:50;20.4;10:15;24;1.4;5.3;Varias;;;;;
2001-10-06;3434X;NAVALMORAL DE LA MATA;CACERES;269;19.4;0.4;15.3;23:50;23.5;15:40;24;2.2;10.0;16:10;;;;;
2001-10-07;3434X;NAVALMORAL DE LA MATA;CACERES;269;16.8;1.0;12.8;Varias;20.9;14:30;25;2.2;9.2;09:20;;;;;
2001-10-08;3434X;NAVALMORAL DE LA MATA;CACERES;269;15.6;4.7;11.6;23:50;19.6;11:20;25;2.2;9.7;15:20;;;;;
2001-10-09;3434X;NAVALMORAL DE LA MATA;CACERES;269;14.5;0.0;7.2;06:20;21.8;15:40;07;1.1;4.4;Varias;;;;;
2001-10-10;3434X;NAVALMORAL DE LA MATA;CACERES;269;16.2;0.0;8.1;06:30;24.3;Varias;07;2.8;13.1;22:50;;;;;
2001-10-11;3434X;NAVALMORAL DE LA MATA;CACERES;269;23.3;4.5;18.3;23:50;28.3;13:40;10;6.4;15.0;10:00;;;;;
2001-10-12;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.4;38.9;14.2;23:50;22.5;11:40;20;3.3;17.2;01:30;;;;;
2001-10-13;3434X;NAVALMORAL DE LA MATA;CACERES;269;16.0;2.1;13.2;04:25;18.8;11:20;10;1.4;5.8;11:00;;;;;
2001-10-14;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.4;0.5;13.2;04:45;23.6;15:40;07;1.1;5.6;12:00;;;;;
2001-10-15;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.4;0.0;12.7;23:40;24.1;15:35;21;1.4;6.4;12:30;;;;;
2001-10-16;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.0;1.8;11.4;02:20;24.6;15:05;07;1.9;5.8;11:40;;;;;
2001-10-17;3434X;NAVALMORAL DE LA MATA;CACERES;269;19.0;12.7;15.9;23:40;22.2;13:10;28;1.1;8.6;15:10;;;;;
2001-10-18;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.4;;15.2;07:20;19.6;15:35;25;1.4;8.3;23:50;;;;;
2001-10-19;3434X;NAVALMORAL DE LA MATA;CACERES;269;15.2;;12.1;20:20;18.2;06:10;22;2.8;11.1;06:10;;;;;
2001-10-20;3434X;NAVALMORAL DE LA MATA;CACERES;269;14.6;7.0;11.0;05:50;18.2;13:15;24;2.5;14.7;13:50;;;;;
2001-10-21;3434X;NAVALMORAL DE LA MATA;CACERES;269;16.0;0.6;12.2;05:20;19.8;15:05;27;1.4;5.8;09:30;;;;;
2001-10-22;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.0;21.0;15.4;23:35;18.6;12:20;27;1.4;6.1;17:40;;;;;
2001-10-23;3434X;NAVALMORAL DE LA MATA;CACERES;269;15.5;0.1;10.3;23:50;20.7;15:10;24;1.7;7.2;08:40;;;;;
2001-10-24;3434X;NAVALMORAL DE LA MATA;CACERES;269;14.8;0.1;8.0;06:35;21.6;14:40;12;1.7;6.4;13:10;;;;;
2001-10-25;3434X;NAVALMORAL DE LA MATA;CACERES;269;15.4;0.0;9.9;06:15;20.9;15:00;07;2.5;9.2;09:40;;;;;
2001-10-26;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.4;0.0;10.8;06:10;24.0;14:50;07;0.8;5.0;12:40;;;;;
2001-10-27;3434X;NAVALMORAL DE LA MATA;CACERES;269;17.6;0.0;12.6;06:55;22.6;12:50;07;2.5;8.1;20:10;;;;;
2001-10-28;3434X;NAVALMORAL DE LA MATA;CACERES;269;21.3;0.0;17.8;07:10;24.8;15:05;07;3.1;11.4;15:20;;;;;
2001-10-29;3434X;NAVALMORAL DE LA MATA;CACERES;269;20.5;0.0;15.7;23:25;25.3;15:40;07;3.3;11.1;11:10;;;;;
2001-10-30;3434X;NAVALMORAL DE LA MATA;CACERES;269;19.9;0.0;14.3;22:45;25.5;15:00;10;2.8;8.3;11:00;;;;;
2001-10-31;3434X;NAVALMORAL DE LA MATA;CACERES;269;18.6;0.0;12.3;06:00;24.9;14:40;11;0.8;5.0;10:40;;;;;
2001-11-01;3434X;NAVALMORAL DE LA MATA;CACERES;269;16.6;0.0;10.8;23:45;22.4;15:20;09;1.9;8.3;11:10;;;;;
2001-11-02;3434X;NAVALMORAL DE LA MATA;CACERES;269;14.2;0.0;8.3;07:05;20.0;14:55;09;3.1;11.4;12:30;;;;;
2001-11-03;3434X;NAVALMORAL DE LA MATA;CACERES;269;13.9;0.0;8.4;06:05;19.4;14:40;15;2.5;8.3;13:50;;;;;
2001-11-04;3434X;NAVALMORAL DE LA MATA;CACERES;269;13.0;0.0;8.0;Varias;18.1;14:30;07;2.2;6.7;12:20;;;;;
2001-11-05;3434X;NAVALMORAL DE LA MATA;CACERES;269;14.9;4.6;10.9;07:35;18.9;13:50;12;3.6;9.4;Varias;;;;;
2001-11-06;3434X;NAVALMORAL DE LA MATA;CACERES;269;12.2;2.8;10.3;07:30;14.0;16:05;10;2.2;7.5;11:00;;;;;
2001-11-07;3434X;NAVALMORAL DE LA MATA;CACERES;269;13.0;0.0;6.9;23:40;19.0;14:40;07;2.2;7.5;10:00;;;;;
2001-11-08;3434X;NAVALMORAL DE LA MATA;CACERES;269;12.8;0.0;4.0;07:05;21.7;15:55;25;1.1;8.6;16:40;;;;;
2001-11-09;3434X;NAVALMORAL DE LA MATA;CACERES;269;9.6;0.0;5.9;23:30;13.4;12:10;06;2.8;12.8;14:20;;;;;
2001-11-10;3434X;NAVALMORAL DE LA MATA;CACERES;269;6.2;0.0;0.5;23:30;11.8;Varias;06;5.3;14.4;12:00;;;;;
2001-11-11;3434X;NAVALMORAL DE LA MATA;CACERES;269;3.8;0.0;-5.9;07:10;13.6;15:50;27;0.0;5.3;12:20;;;;;
2001-11-12;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.4;0.0;-2.9;06:50;17.7;16:00;24;0.8;5.0;14:10;;;;;
2001-11-13;3434X;NAVALMORAL DE LA MATA;CACERES;269;9.6;0.0;-0.2;06:30;19.5;16:20;24;1.1;4.7;12:50;;;;;
2001-11-14;3434X;NAVALMORAL DE LA MATA;CACERES;269;9.8;0.0;5.8;04:20;13.9;13:05;01;5.0;18.6;13:10;;;;;
2001-11-15;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.4;0.1;3.6;Varias;11.3;12:20;10;1.4;7.2;04:10;;;;;
2001-11-16;3434X;NAVALMORAL DE LA MATA;CACERES;269;6.8;1.9;3.3;00:20;10.3;14:00;06;1.4;6.7;15:10;;;;;
2001-11-17;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.6;8.6;6.4;Varias;8.9;Varias;07;1.7;6.9;13:30;;;;;
2001-11-18;3434X;NAVALMORAL DE LA MATA;CACERES;269;8.4;0.1;2.9;23:35;14.0;15:30;10;1.1;4.7;12:00;;;;;
2001-11-19;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.0;0.0;0.8;02:50;13.3;16:15;06;0.3;3.3;21:10;;;;;
2001-11-20;3434X;NAVALMORAL DE LA MATA;CACERES;269;6.4;0.0;-1.3;07:20;14.2;14:50;06;0.8;4.2;14:00;;;;;
2001-11-21;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.6;0.0;1.2;06:40;13.9;15:20;07;2.8;11.4;11:50;;;;;
2001-11-22;3434X;NAVALMORAL DE LA MATA;CACERES;269;9.1;0.0;2.4;23:50;15.8;14:00;06;2.2;8.9;Varias;;;;;
2001-11-23;3434X;NAVALMORAL DE LA MATA;CACERES;269;8.0;0.0;1.1;03:25;14.8;14:25;09;1.7;7.8;11:50;;;;;
2001-11-24;3434X;NAVALMORAL DE LA MATA;CACERES;269;8.8;0.0;1.2;01:40;16.3;Varias;07;2.5;6.7;12:40;;;;;
2001-11-25;3434X;NAVALMORAL DE LA MATA;CACERES;269;7.0;0.0;-1.5;07:20;15.6;15:30;12;0.0;2.8;13:20;;;;;
