FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2009-01-16;7275C;YECLA;MURCIA;640;;;;;;;07;;7.5;15:30;;;;;
2009-01-17;7275C;YECLA;MURCIA;640;;;;;;;03;;6.1;14:00;;;;;
2009-01-18;7275C;YECLA;MURCIA;640;;;;;;;30;;15.8;19:20;;;;;
2009-01-19;7275C;YECLA;MURCIA;640;;;;;;;30;;17.5;23:00;;;;;
2009-01-20;7275C;YECLA;MURCIA;640;;;;;;;28;;17.8;21:30;;;;;
2009-01-21;7275C;YECLA;MURCIA;640;;;;;;;27;;24.2;21:30;;;;;
2009-01-22;7275C;YECLA;MURCIA;640;;;;;;;25;;23.3;23:50;;;;;
2009-01-23;7275C;YECLA;MURCIA;640;15.1;;12.1;Varias;18.1;14:00;26;;25.3;10:20;;;;;
2009-01-24;7275C;YECLA;MURCIA;640;10.5;;7.0;23:59;14.0;04:50;30;;26.9;05:50;;;;;
2009-01-25;7275C;YECLA;MURCIA;640;8.0;;1.7;07:40;14.2;14:00;30;;22.2;00:40;;;;;
2009-01-26;7275C;YECLA;MURCIA;640;;;;;;;26;;22.2;22:50;;;;;
2009-01-27;7275C;YECLA;MURCIA;640;;;;;;;28;;21.1;80:40;;;;;
2009-01-28;7275C;YECLA;MURCIA;640;10.3;0.0;7.1;01:35;13.5;15:20;27;9.7;24.7;09:50;;943.7;Varias;941.5;16
2009-01-29;7275C;YECLA;MURCIA;640;11.8;0.0;7.6;23:00;16.0;13:50;27;5.6;17.2;10:10;;943.8;11;941.1;05
2009-01-30;7275C;YECLA;MURCIA;640;10.6;0.0;2.7;07:10;18.5;14:10;21;1.9;9.2;14:30;;942.7;Varias;935.0;24
2009-01-31;7275C;YECLA;MURCIA;640;5.4;5.4;3.4;Varias;7.5;17:00;29;6.1;16.7;21:10;;935.0;00;930.4;19
2009-02-01;7275C;YECLA;MURCIA;640;3.6;4.4;0.7;06:05;6.4;20:40;26;1.9;18.9;01:20;;930.9;00;917.9;23
2009-02-02;7275C;YECLA;MURCIA;640;5.6;2.4;1.4;Varias;9.8;13:10;28;2.2;11.4;23:50;;922.6;Varias;916.4;03
2009-02-03;7275C;YECLA;MURCIA;640;;0.0;;;;;;;;;;;;;
2009-02-05;7275C;YECLA;MURCIA;640;;;;;11.7;14:10;22;;8.6;74:20;;;;;
2009-02-06;7275C;YECLA;MURCIA;640;5.0;0.6;0.8;19:55;9.1;13:20;29;5.0;20.8;14:20;;925.6;24;920.6;14
2009-02-07;7275C;YECLA;MURCIA;640;3.4;0.0;0.9;07:30;6.0;Varias;27;8.9;24.2;20:20;;933.7;23;925.5;01
2009-02-08;7275C;YECLA;MURCIA;640;5.4;0.0;1.7;04:20;9.1;23:45;28;8.9;24.7;00:40;;944.5;24;933.2;00
2009-02-09;7275C;YECLA;MURCIA;640;12.0;0.0;8.6;Varias;15.5;13:40;27;5.8;18.6;00:30;;946.2;11;943.6;17
2009-02-10;7275C;YECLA;MURCIA;640;10.2;0.0;6.8;07:15;13.5;Varias;28;5.3;17.2;12:50;;949.9;24;943.4;05
2009-02-11;7275C;YECLA;MURCIA;640;7.4;0.0;0.9;05:50;14.0;15:00;30;5.8;23.1;19:30;;950.9;09;945.7;21
2009-02-12;7275C;YECLA;MURCIA;640;11.4;0.0;6.2;06:25;16.7;14:30;33;4.2;16.9;03:30;;947.0;00;943.4;15
2009-02-13;7275C;YECLA;MURCIA;640;7.8;0.0;0.8;07:10;14.7;14:45;30;1.9;18.1;01:40;;945.2;11;942.9;Varias
2009-02-14;7275C;YECLA;MURCIA;640;8.9;0.0;-0.8;Varias;18.6;Varias;06;;6.7;83:20;;;;;
2009-02-15;7275C;YECLA;MURCIA;640;;;;;9.1;13:20;99;1.4;5.8;Varias;;;;;
2009-02-17;7275C;YECLA;MURCIA;640;;0.0;;;13.2;16:10;27;;6.1;79:40;;;;;
2009-02-18;7275C;YECLA;MURCIA;640;;0.0;;;;;;;;;;;;;
2009-02-19;7275C;YECLA;MURCIA;640;;0.0;;;;;;;;;;;;;
2009-02-20;7275C;YECLA;MURCIA;640;;0.0;;;10.4;16:10;12;;4.7;76:00;;;;;
2009-02-21;7275C;YECLA;MURCIA;640;;0.0;;;14.8;14:40;02;2.8;8.9;72:40;;;;;
2009-02-22;7275C;YECLA;MURCIA;640;;0.0;;;;;;;;;;;;;
2009-02-23;7275C;YECLA;MURCIA;640;10.8;0.0;2.6;23:59;19.0;15:25;31;1.9;16.9;02:30;;948.2;00;941.2;Varias
2009-02-24;7275C;YECLA;MURCIA;640;8.2;0.0;0.0;06:10;16.4;14:20;14;1.7;6.9;15:10;;946.1;24;941.4;Varias
2009-02-25;7275C;YECLA;MURCIA;640;7.8;0.0;3.7;00:00;11.9;12:50;17;1.4;6.9;13:40;;953.4;Varias;946.1;00
2009-02-26;7275C;YECLA;MURCIA;640;7.6;0.0;0.9;23:59;14.3;15:40;06;2.5;6.7;72:40;;;;;
