FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2006-01-01;8177A;CHINCHILLA;ALBACETE;880;4.7;0.0;1.3;23:20;8.1;14:20;99;6.4;18.9;02:55;;919.6;Varias;914.7;05
2006-01-02;8177A;CHINCHILLA;ALBACETE;880;3.4;0.0;-1.0;Varias;7.8;15:05;33;5.0;19.4;13:30;;921.0;Varias;917.9;06
2006-01-03;8177A;CHINCHILLA;ALBACETE;880;3.2;0.0;-1.4;06:55;7.7;15:10;32;4.2;12.8;00:30;;921.6;11;919.0;24
2006-01-04;8177A;CHINCHILLA;ALBACETE;880;1.0;0.0;-4.2;07:20;6.2;15:40;01;1.9;8.3;01:00;;919.0;00;913.5;24
2006-01-05;8177A;CHINCHILLA;ALBACETE;880;4.2;0.0;-0.1;05:00;8.4;14:40;29;3.6;8.9;16:10;;913.7;10;910.5;24
2006-01-06;8177A;CHINCHILLA;ALBACETE;880;5.8;0.7;3.8;Varias;7.9;14:25;29;2.2;8.6;01:30;;910.5;00;907.6;16
2006-01-07;8177A;CHINCHILLA;ALBACETE;880;5.6;4.7;4.1;Varias;7.1;13:50;10;3.9;7.5;14:20;;910.8;23;908.0;05
2006-01-08;8177A;CHINCHILLA;ALBACETE;880;6.3;0.2;3.6;07:50;9.0;12:10;99;2.2;5.6;Varias;;919.6;24;910.6;Varias
2006-01-09;8177A;CHINCHILLA;ALBACETE;880;5.2;15.1;2.1;06:00;8.4;14:50;29;1.1;6.4;22:50;;923.1;11;919.6;00
2006-01-10;8177A;CHINCHILLA;ALBACETE;880;5.2;0.4;2.8;05:30;7.7;Varias;11;5.3;10.6;14:15;;926.2;11;918.5;05
2006-01-11;8177A;CHINCHILLA;ALBACETE;880;5.0;0.0;1.1;23:10;9.0;12:20;99;1.4;6.4;Varias;;928.3;11;924.3;00
2006-01-12;8177A;CHINCHILLA;ALBACETE;880;4.9;0.1;0.7;05:00;9.1;14:00;18;2.2;7.8;11:30;;926.5;Varias;921.5;24
2006-01-13;8177A;CHINCHILLA;ALBACETE;880;4.4;0.0;-0.3;07:20;9.1;14:10;19;3.1;7.5;14:00;;923.2;11;920.6;06
2006-01-14;8177A;CHINCHILLA;ALBACETE;880;4.2;0.0;0.5;00:00;8.0;14:30;18;3.1;7.8;14:50;;922.8;11;919.9;24
2006-01-15;8177A;CHINCHILLA;ALBACETE;880;5.3;0.5;2.5;05:50;8.1;13:00;15;1.4;7.8;22:30;;920.2;02;914.6;24
2006-01-16;8177A;CHINCHILLA;ALBACETE;880;4.5;1.0;3.0;23:59;6.0;13:25;16;3.6;8.1;09:30;;916.2;Varias;912.4;06
2006-01-17;8177A;CHINCHILLA;ALBACETE;880;6.7;0.0;2.6;00:30;10.8;15:25;32;1.7;7.2;22:30;;920.8;11;915.8;00
2006-01-18;8177A;CHINCHILLA;ALBACETE;880;5.4;0.0;2.6;Varias;8.3;12:00;33;3.9;12.8;12:20;;919.7;00;917.1;22
2006-01-19;8177A;CHINCHILLA;ALBACETE;880;6.2;0.1;-1.2;07:10;13.5;14:40;01;1.4;5.0;17:10;;920.2;24;914.8;08
2006-01-20;8177A;CHINCHILLA;ALBACETE;880;6.6;0.0;1.8;04:20;11.3;Varias;11;2.2;7.5;06:50;;923.8;Varias;919.7;Varias
2006-01-21;8177A;CHINCHILLA;ALBACETE;880;6.3;0.0;0.7;07:40;11.9;15:30;32;2.8;8.3;18:00;;924.4;11;921.1;Varias
2006-01-22;8177A;CHINCHILLA;ALBACETE;880;3.8;0.0;1.5;21:30;6.1;15:00;33;4.2;10.6;07:40;;922.5;Varias;919.2;06
2006-01-23;8177A;CHINCHILLA;ALBACETE;880;5.3;0.0;1.4;23:40;9.2;11:55;34;2.8;7.8;15:40;;923.7;11;921.0;24
2006-01-24;8177A;CHINCHILLA;ALBACETE;880;4.2;0.0;-0.4;23:59;8.9;13:50;15;5.3;12.2;13:20;;924.4;10;920.1;24
2006-01-25;8177A;CHINCHILLA;ALBACETE;880;1.8;0.0;-1.3;01:30;5.0;11:50;14;5.8;12.8;10:00;;920.1;00;911.6;24
2006-01-26;8177A;CHINCHILLA;ALBACETE;880;4.8;0.0;0.4;06:50;9.2;14:20;26;3.9;8.9;14:20;;911.6;00;907.1;Varias
2006-01-27;8177A;CHINCHILLA;ALBACETE;880;0.9;7.3;-1.3;Varias;3.1;11:20;11;3.6;10.0;18:00;;907.1;00;903.1;24
2006-01-28;8177A;CHINCHILLA;ALBACETE;880;-3.8;6.5;-7.1;23:50;-0.6;00:00;36;3.1;11.1;08:40;;906.2;24;902.1;Varias
2006-01-31;8177A;CHINCHILLA;ALBACETE;880;1.8;4.8;-0.7;06:40;4.4;22:55;34;3.9;9.2;03:20;;920.4;23;913.4;Varias
2006-02-01;8177A;CHINCHILLA;ALBACETE;880;5.8;0.0;0.9;05:50;10.8;15:20;35;0.8;5.0;02:10;;921.6;Varias;918.7;23
2006-02-02;8177A;CHINCHILLA;ALBACETE;880;7.2;0.0;2.1;06:25;12.4;15:30;01;1.1;4.7;04:10;;918.8;Varias;912.9;24
2006-02-03;8177A;CHINCHILLA;ALBACETE;880;9.0;0.7;4.6;Varias;13.3;14:30;11;2.5;7.5;17:50;;913.2;00;908.8;Varias
2006-02-04;8177A;CHINCHILLA;ALBACETE;880;3.6;0.0;1.8;23:05;5.5;Varias;04;2.2;7.2;00:40;;914.5;Varias;910.2;05
2006-02-05;8177A;CHINCHILLA;ALBACETE;880;4.2;0.2;-0.8;08:15;9.1;15:40;09;1.9;5.0;07:00;;919.5;23;914.0;04
2006-02-06;8177A;CHINCHILLA;ALBACETE;880;4.6;0.1;0.7;00:05;8.4;15:50;32;2.8;6.7;16:00;;922.2;Varias;918.6;Varias
2006-02-07;8177A;CHINCHILLA;ALBACETE;880;7.1;0.0;0.0;06:40;14.2;15:00;01;1.4;4.7;01:50;;923.8;11;918.5;24
2006-02-08;8177A;CHINCHILLA;ALBACETE;880;5.4;0.1;-1.0;07:00;11.9;15:05;30;3.3;12.2;13:40;;918.6;00;914.6;07
2006-02-09;8177A;CHINCHILLA;ALBACETE;880;8.5;0.0;1.4;07:10;15.6;Varias;99;2.5;6.9;04:25;;916.3;11;913.3;04
2006-02-10;8177A;CHINCHILLA;ALBACETE;880;9.0;0.0;3.9;07:00;14.1;14:30;30;1.9;7.5;13:40;;916.1;11;913.0;04
2006-02-11;8177A;CHINCHILLA;ALBACETE;880;9.9;0.8;4.9;Varias;14.9;15:10;14;1.7;5.8;23:50;;919.1;24;915.2;Varias
2006-02-12;8177A;CHINCHILLA;ALBACETE;880;8.4;0.1;4.1;Varias;12.8;14:55;12;2.8;6.9;01:20;;922.5;11;918.8;03
2006-02-13;8177A;CHINCHILLA;ALBACETE;880;8.6;0.0;2.1;02:40;15.0;16:05;99;3.3;11.4;Varias;;920.4;00;918.5;Varias
2006-02-14;8177A;CHINCHILLA;ALBACETE;880;9.1;0.0;1.5;08:00;16.7;16:00;31;1.7;5.3;15:20;;921.6;11;918.1;03
2006-02-15;8177A;CHINCHILLA;ALBACETE;880;9.6;0.0;4.0;07:10;15.2;13:40;28;4.7;12.5;13:10;;921.1;00;916.5;24
2006-02-16;8177A;CHINCHILLA;ALBACETE;880;7.2;2.0;5.0;08:40;9.4;11:50;29;8.1;19.2;10:50;;916.7;00;911.1;18
2006-02-17;8177A;CHINCHILLA;ALBACETE;880;7.2;0.0;3.8;06:20;10.5;Varias;29;7.8;15.0;09:20;;914.5;Varias;912.2;Varias
2006-02-18;8177A;CHINCHILLA;ALBACETE;880;7.2;2.6;4.3;01:50;10.2;Varias;29;7.8;18.6;11:20;;914.8;11;909.0;24
2006-02-19;8177A;CHINCHILLA;ALBACETE;880;3.7;12.3;0.0;06:00;7.4;Varias;29;12.8;23.1;10:20;;910.0;Varias;904.8;06
2006-02-20;8177A;CHINCHILLA;ALBACETE;880;2.6;0.6;0.6;Varias;4.7;15:50;99;7.2;14.4;Varias;;909.5;01;906.5;17
2006-02-21;8177A;CHINCHILLA;ALBACETE;880;1.8;0.6;-0.1;Varias;3.8;Varias;30;5.3;11.4;11:10;;908.8;23;905.7;05
2006-02-22;8177A;CHINCHILLA;ALBACETE;880;3.8;1.0;0.0;04:35;7.6;13:20;11;1.4;9.2;14:50;;911.3;24;907.1;05
2006-02-23;8177A;CHINCHILLA;ALBACETE;880;1.4;0.9;-1.3;23:45;4.0;15:05;33;4.7;10.3;13:10;;912.8;11;907.6;24
2006-02-24;8177A;CHINCHILLA;ALBACETE;880;1.4;0.2;-1.9;Varias;4.6;16:20;08;7.8;16.1;13:50;;908.1;Varias;905.5;Varias
2006-02-25;8177A;CHINCHILLA;ALBACETE;880;2.9;1.6;-0.9;05:35;6.7;13:00;28;5.6;15.8;11:00;;909.8;11;903.3;24
2006-02-26;8177A;CHINCHILLA;ALBACETE;880;2.4;3.1;-0.3;23:50;5.1;14:20;29;7.2;18.1;23:30;;903.3;00;897.4;Varias
2006-02-27;8177A;CHINCHILLA;ALBACETE;880;3.6;0.4;-0.4;23:59;7.7;15:30;30;5.8;18.1;00:10;;911.0;20;899.5;00
2006-02-28;8177A;CHINCHILLA;ALBACETE;880;4.4;0.0;-2.3;06:40;11.1;14:50;10;1.1;6.1;23:30;;911.4;Varias;908.7;04
2006-03-01;8177A;CHINCHILLA;ALBACETE;880;4.8;0.0;-1.8;05:00;11.5;14:50;10;2.2;9.2;05:00;;910.9;23;907.9;05
2006-03-02;8177A;CHINCHILLA;ALBACETE;880;4.8;0.0;-1.5;06:50;11.1;Varias;31;4.2;12.5;14:50;;915.9;Varias;909.9;04
2006-03-03;8177A;CHINCHILLA;ALBACETE;880;5.4;0.0;3.1;05:10;7.8;13:40;30;8.1;18.1;15:50;;916.7;Varias;913.9;Varias
2006-03-04;8177A;CHINCHILLA;ALBACETE;880;8.8;0.4;4.6;Varias;13.1;13:20;26;8.6;19.7;18:50;;916.1;01;902.5;24
2006-03-05;8177A;CHINCHILLA;ALBACETE;880;2.8;46.4;-0.2;08:40;5.7;Varias;99;11.9;25.8;Varias;;916.8;Varias;898.6;03
2006-03-06;8177A;CHINCHILLA;ALBACETE;880;3.0;0.0;-1.9;06:30;8.0;Varias;30;6.9;20.6;08:30;;923.8;Varias;916.4;00
2006-03-07;8177A;CHINCHILLA;ALBACETE;880;6.1;0.0;-0.8;05:10;13.0;Varias;30;6.9;15.6;15:40;;925.2;10;921.8;04
2006-03-08;8177A;CHINCHILLA;ALBACETE;880;10.1;0.0;4.9;05:40;15.3;15:30;29;6.7;12.8;01:50;;924.6;11;920.8;24
2006-03-09;8177A;CHINCHILLA;ALBACETE;880;12.0;0.1;6.8;06:10;17.2;15:00;30;7.8;17.5;18:00;;920.8;00;917.0;Varias
2006-03-10;8177A;CHINCHILLA;ALBACETE;880;6.7;0.1;2.3;06:45;11.1;14:50;29;8.6;19.4;23:59;;922.8;12;918.2;Varias
2006-03-11;8177A;CHINCHILLA;ALBACETE;880;9.2;1.4;3.0;06:40;15.4;15:40;30;8.6;23.3;12:40;;921.4;23;916.0;04
2006-03-12;8177A;CHINCHILLA;ALBACETE;880;10.5;0.0;4.3;Varias;16.7;16:10;35;5.3;13.9;11:10;;921.2;Varias;916.0;22
2006-03-13;8177A;CHINCHILLA;ALBACETE;880;11.7;0.0;2.8;06:50;20.6;16:00;01;2.2;7.2;01:40;;916.4;Varias;914.1;Varias
2006-03-14;8177A;CHINCHILLA;ALBACETE;880;13.0;0.0;5.9;06:50;20.2;Varias;16;2.2;6.4;01:50;;916.1;11;914.0;16
2006-03-15;8177A;CHINCHILLA;ALBACETE;880;13.2;0.0;5.3;06:30;21.1;15:30;01;1.4;9.7;09:40;;915.3;Varias;912.4;Varias
2006-03-16;8177A;CHINCHILLA;ALBACETE;880;14.6;0.0;8.1;05:30;21.1;Varias;34;1.9;7.8;09:30;;913.4;11;910.4;17
2006-03-17;8177A;CHINCHILLA;ALBACETE;880;9.8;0.0;6.5;Varias;13.1;14:20;99;6.1;10.6;Varias;;910.7;00;905.4;21
2006-03-18;8177A;CHINCHILLA;ALBACETE;880;9.6;5.5;6.5;Varias;12.8;11:35;99;4.2;8.9;Varias;;906.8;Varias;902.8;Varias
2006-03-19;8177A;CHINCHILLA;ALBACETE;880;9.2;0.0;6.4;04:40;12.1;13:20;28;4.7;11.9;08:20;;907.8;Varias;903.9;04
2006-03-20;8177A;CHINCHILLA;ALBACETE;880;9.4;2.8;6.2;04:20;12.5;Varias;32;2.5;10.3;12:40;;908.6;10;906.1;17
2006-03-21;8177A;CHINCHILLA;ALBACETE;880;9.2;0.1;5.2;05:55;13.1;14:30;29;5.8;11.7;13:20;;908.4;Varias;905.6;Varias
2006-03-22;8177A;CHINCHILLA;ALBACETE;880;7.4;0.2;4.6;06:25;10.3;15:00;29;8.6;18.1;15:20;;914.0;23;908.2;01
2006-03-23;8177A;CHINCHILLA;ALBACETE;880;9.8;0.0;5.1;00:25;14.5;16:20;28;8.6;16.4;13:20;;914.6;Varias;910.5;24
2006-03-24;8177A;CHINCHILLA;ALBACETE;880;11.3;1.4;8.1;06:25;14.5;Varias;29;9.2;20.0;11:10;;918.0;24;908.9;03
2006-03-25;8177A;CHINCHILLA;ALBACETE;880;12.8;0.0;7.4;Varias;18.3;16:00;31;4.7;15.3;03:10;;921.7;Varias;917.2;04
2006-03-26;8177A;CHINCHILLA;ALBACETE;880;17.0;0.0;9.6;00:00;24.4;14:45;20;4.4;11.4;12:30;;921.0;00;916.7;Varias
2006-03-27;8177A;CHINCHILLA;ALBACETE;880;17.0;0.0;11.2;05:00;22.7;13:40;30;4.2;13.9;15:10;;918.7;11;915.4;Varias
2006-03-28;8177A;CHINCHILLA;ALBACETE;880;12.2;0.0;7.0;06:20;17.5;16:10;30;6.9;15.3;10:10;;920.7;11;916.5;03
2006-03-29;8177A;CHINCHILLA;ALBACETE;880;10.8;0.0;4.0;05:35;17.6;15:30;32;4.2;12.2;11:40;;921.4;Varias;917.0;Varias
2006-03-30;8177A;CHINCHILLA;ALBACETE;880;16.0;0.0;8.7;Varias;23.2;15:25;32;2.2;10.0;00:30;;922.3;09;918.6;Varias
2006-03-31;8177A;CHINCHILLA;ALBACETE;880;17.8;0.0;12.0;06:00;23.6;15:45;33;1.4;7.2;03:10;;921.0;Varias;917.6;18
2006-04-01;8177A;CHINCHILLA;ALBACETE;880;16.0;0.0;10.3;05:40;21.7;Varias;29;5.0;12.2;10:00;;919.5;Varias;916.6;04
2006-04-02;8177A;CHINCHILLA;ALBACETE;880;13.1;0.0;7.3;05:40;18.9;16:20;30;4.2;9.2;00:40;;921.7;10;918.3;04
2006-04-03;8177A;CHINCHILLA;ALBACETE;880;15.6;0.0;8.8;05:10;22.3;13:50;16;6.1;11.7;13:20;;921.0;00;916.8;24
2006-04-04;8177A;CHINCHILLA;ALBACETE;880;15.7;0.0;8.1;05:20;23.3;14:45;16;5.8;14.2;11:10;;916.8;00;908.0;Varias
2006-04-05;8177A;CHINCHILLA;ALBACETE;880;12.5;0.0;7.7;06:20;17.3;14:50;30;6.1;12.2;17:40;;908.8;Varias;907.0;04
2006-04-06;8177A;CHINCHILLA;ALBACETE;880;11.5;0.0;7.6;04:00;15.4;15:10;29;6.4;12.5;14:10;;912.7;Varias;907.4;04
2006-04-07;8177A;CHINCHILLA;ALBACETE;880;12.2;0.0;8.0;23:59;16.5;15:30;28;5.0;9.2;10:20;;915.6;22;912.1;Varias
2006-04-08;8177A;CHINCHILLA;ALBACETE;880;13.7;0.0;5.7;05:40;21.7;Varias;17;3.1;11.4;11:30;;915.6;09;911.9;17
2006-04-09;8177A;CHINCHILLA;ALBACETE;880;;;;;;;;3.9;;;;;;;
2006-04-10;8177A;CHINCHILLA;ALBACETE;880;;0.0;;;;;;3.6;;;;;;;
2006-04-11;8177A;CHINCHILLA;ALBACETE;880;13.2;0.0;7.0;Varias;19.5;15:00;12;3.1;9.4;03:00;;918.2;11;914.3;Varias
2006-04-12;8177A;CHINCHILLA;ALBACETE;880;12.8;0.0;6.8;05:40;18.7;Varias;32;3.9;12.8;15:30;;917.0;Varias;914.3;20
2006-04-13;8177A;CHINCHILLA;ALBACETE;880;13.6;0.0;4.9;05:20;22.3;Varias;20;3.9;8.3;18:50;;919.2;Varias;915.8;05
2006-04-14;8177A;CHINCHILLA;ALBACETE;880;14.0;1.9;7.0;Varias;21.0;15:50;18;5.8;12.2;13:00;;917.6;00;912.9;18
2006-04-15;8177A;CHINCHILLA;ALBACETE;880;14.0;1.8;8.5;23:59;19.4;14:10;33;4.7;16.4;16:20;;918.5;23;913.1;03
2006-04-16;8177A;CHINCHILLA;ALBACETE;880;13.6;0.0;6.6;03:20;20.6;13:20;30;1.9;8.1;17:50;;918.6;00;913.6;24
2006-04-17;8177A;CHINCHILLA;ALBACETE;880;9.8;0.4;6.8;18:55;12.8;14:50;28;5.3;11.4;14:20;;913.7;23;910.8;15
2006-04-18;8177A;CHINCHILLA;ALBACETE;880;11.6;0.0;3.8;05:20;19.4;14:50;99;2.5;8.3;Varias;;916.0;11;913.0;Varias
2006-04-19;8177A;CHINCHILLA;ALBACETE;880;13.8;0.0;7.8;Varias;19.9;16:00;30;2.5;8.1;12:30;;915.3;21;912.9;04
2006-04-20;8177A;CHINCHILLA;ALBACETE;880;13.6;0.0;8.0;05:25;19.3;13:20;28;4.7;10.6;13:30;;915.8;Varias;913.9;15
2006-04-21;8177A;CHINCHILLA;ALBACETE;880;14.0;1.0;8.7;05:50;19.4;15:10;29;2.8;8.9;10:30;;914.8;00;911.0;Varias
2006-04-22;8177A;CHINCHILLA;ALBACETE;880;14.2;17.0;8.7;Varias;19.6;12:20;12;5.8;15.0;Varias;;913.4;Varias;909.7;02
2006-04-23;8177A;CHINCHILLA;ALBACETE;880;13.2;0.0;8.9;02:45;17.4;14:10;11;7.8;16.7;Varias;;912.3;Varias;910.1;Varias
2006-04-24;8177A;CHINCHILLA;ALBACETE;880;14.4;0.0;7.9;02:50;21.0;14:00;10;5.3;19.4;08:30;;913.6;24;908.4;03
2006-04-25;8177A;CHINCHILLA;ALBACETE;880;15.5;0.0;8.2;01:15;22.8;15:10;03;4.2;10.3;04:20;;918.1;Varias;912.2;04
2006-04-26;8177A;CHINCHILLA;ALBACETE;880;15.4;0.0;7.6;05:45;23.1;14:30;13;1.4;8.1;10:20;;919.9;10;917.4;Varias
2006-04-27;8177A;CHINCHILLA;ALBACETE;880;16.8;0.3;9.8;04:10;23.7;16:00;31;3.3;12.2;16:50;;918.1;00;913.5;18
2006-04-28;8177A;CHINCHILLA;ALBACETE;880;14.6;3.8;9.1;23:50;20.1;15:40;16;4.2;11.7;16:30;;915.2;00;910.9;15
2006-04-29;8177A;CHINCHILLA;ALBACETE;880;11.8;0.0;4.7;05:40;18.9;Varias;35;2.8;10.3;16:20;;913.3;10;911.2;17
