FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2005-02-21;9001D;REINOSA;CANTABRIA;870;-2.7;6.5;-5.6;23:00;0.2;15:00;02;2.2;8.3;02:40;;;;;
2005-02-22;9001D;REINOSA;CANTABRIA;870;-3.5;7.4;-9.1;23:40;2.1;15:10;33;3.6;10.6;10:50;;;;;
2005-02-23;9001D;REINOSA;CANTABRIA;870;-6.8;0.0;-16.7;07:00;3.2;14:35;27;0.3;3.9;00:00;;;;;
2005-02-24;9001D;REINOSA;CANTABRIA;870;-5.6;0.0;-14.2;04:00;2.9;12:20;34;1.4;6.7;17:50;;;;;
2005-02-25;9001D;REINOSA;CANTABRIA;870;-5.8;0.0;-15.4;06:50;3.9;15:00;25;0.0;4.2;02:40;;;;;
2005-02-26;9001D;REINOSA;CANTABRIA;870;-3.2;0.6;-12.0;07:20;5.5;14:40;26;0.8;11.9;15:20;;;;;
2005-02-27;9001D;REINOSA;CANTABRIA;870;-3.0;1.0;-6.1;03:20;0.1;11:40;35;4.2;16.1;21:00;;;;;
2005-02-28;9001D;REINOSA;CANTABRIA;870;-6.2;0.2;-8.0;23:40;-4.4;00:00;02;5.3;14.7;02:40;;;;;
2005-03-01;9001D;REINOSA;CANTABRIA;870;-6.0;0.0;-14.3;23:50;2.3;13:50;36;1.1;10.0;00:50;;;;;
2005-03-02;9001D;REINOSA;CANTABRIA;870;-6.3;0.7;-15.8;02:25;3.2;Varias;21;3.6;11.4;12:40;;;;;
2005-03-03;9001D;REINOSA;CANTABRIA;870;-4.3;9.7;-9.3;01:50;0.7;13:20;35;3.6;12.8;19:10;;;;;
2005-03-04;9001D;REINOSA;CANTABRIA;870;-1.7;3.6;-3.9;00:10;0.5;23:50;06;5.6;13.9;08:40;;;;;
2005-03-05;9001D;REINOSA;CANTABRIA;870;1.6;20.1;0.5;23:15;2.8;12:50;33;3.9;15.3;03:10;;;;;
2005-03-06;9001D;REINOSA;CANTABRIA;870;-0.2;8.3;-1.8;22:20;1.3;00:40;35;4.4;13.3;06:30;;;;;
2005-03-07;9001D;REINOSA;CANTABRIA;870;-4.0;;-7.4;22:00;-0.6;14:20;05;3.6;8.6;04:00;;;;;
2005-03-08;9001D;REINOSA;CANTABRIA;870;-5.2;;-11.5;23:50;1.2;15:30;31;3.3;6.9;Varias;;;;;
2005-03-09;9001D;REINOSA;CANTABRIA;870;-1.4;;-11.7;02:40;8.8;16:00;04;0.8;3.3;10:30;;;;;
2005-03-10;9001D;REINOSA;CANTABRIA;870;-1.2;;-9.4;00:00;7.1;15:50;29;1.9;4.7;05:40;;;;;
2005-03-11;9001D;REINOSA;CANTABRIA;870;0.4;;-7.8;23:50;8.5;15:20;30;0.8;5.3;06:20;;;;;
2005-03-12;9001D;REINOSA;CANTABRIA;870;-0.6;;-12.0;06:20;10.8;14:20;27;0.0;2.8;Varias;;;;;
2005-03-13;9001D;REINOSA;CANTABRIA;870;1.6;;-8.3;06:00;11.5;15:20;26;0.6;2.8;Varias;;;;;
2005-03-14;9001D;REINOSA;CANTABRIA;870;6.7;;-0.2;06:00;13.6;14:20;18;1.4;4.7;11:00;;;;;
2005-03-15;9001D;REINOSA;CANTABRIA;870;6.4;;-3.1;05:10;15.8;14:20;22;1.4;4.2;01:30;;;;;
2005-03-16;9001D;REINOSA;CANTABRIA;870;8.3;;-0.1;00:50;16.7;13:50;14;1.7;7.2;06:40;;;;;
