FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
2006-01-29;9784P;BIELSA;HUESCA;992;0.6;4.4;-3.3;Varias;4.4;14:10;;0.0;;;;;;;
2006-01-30;9784P;BIELSA;HUESCA;992;5.1;12.2;-2.6;02:10;12.8;12:20;;0.8;;;;;;;
2006-01-31;9784P;BIELSA;HUESCA;992;4.8;0.0;-1.5;Varias;11.1;13:30;;1.4;;;;;;;
2006-02-01;9784P;BIELSA;HUESCA;992;2.5;0.0;-2.6;06:30;7.6;13:20;11;0.8;7.2;19:30;;;;;
2006-02-02;9784P;BIELSA;HUESCA;992;2.7;0.0;-3.0;07:10;8.4;13:35;09;0.8;9.2;04:40;;;;;
2006-02-03;9784P;BIELSA;HUESCA;992;3.6;0.0;-3.9;Varias;11.1;13:30;15;1.9;8.9;12:30;;;;;
2006-02-04;9784P;BIELSA;HUESCA;992;1.4;0.0;-5.2;08:30;8.0;Varias;03;1.1;11.4;23:50;;;;;
2006-02-05;9784P;BIELSA;HUESCA;992;2.0;0.0;-5.6;Varias;9.7;13:30;35;2.5;9.7;16:00;;;;;
2006-02-06;9784P;BIELSA;HUESCA;992;4.0;0.0;-0.6;01:00;8.5;10:50;04;3.3;14.7;20:10;;;;;
2006-02-07;9784P;BIELSA;HUESCA;992;4.7;0.0;-2.4;07:00;11.8;13:30;;;;;;;;;
2006-02-08;9784P;BIELSA;HUESCA;992;5.2;0.0;-2.7;08:40;13.0;13:10;;;;;;;;;
2006-02-09;9784P;BIELSA;HUESCA;992;3.9;0.0;-2.5;06:20;10.3;13:20;;;;;;;;;
2006-02-10;9784P;BIELSA;HUESCA;992;2.6;0.0;-4.2;07:00;9.3;13:50;;;;;;;;;
2006-02-11;9784P;BIELSA;HUESCA;992;2.5;0.0;-4.4;Varias;9.4;13:10;;;;;;;;;
2006-02-12;9784P;BIELSA;HUESCA;992;4.2;0.0;-1.5;21:35;9.9;13:50;;;;;;;;;
2006-02-13;9784P;BIELSA;HUESCA;992;5.2;0.0;-1.5;Varias;11.9;11:20;;;;;;;;;
