FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1989-01-01;B569X;CAPDEPERA;ILLES BALEARS;66;14.0;0.0;11.3;22:50;16.7;13:00;35;4.4;9.7;12:00;;;;;
1989-01-02;B569X;CAPDEPERA;ILLES BALEARS;66;13.2;0.0;10.7;Varias;15.7;Varias;11;1.1;5.0;12:40;;;;;
1989-01-03;B569X;CAPDEPERA;ILLES BALEARS;66;12.9;0.0;11.0;01:40;14.8;11:40;01;3.1;8.9;08:50;;;;;
1989-01-04;B569X;CAPDEPERA;ILLES BALEARS;66;13.0;0.0;11.1;23:50;14.9;10:30;34;2.8;10.8;09:30;;;;;
1989-01-05;B569X;CAPDEPERA;ILLES BALEARS;66;13.4;0.0;10.7;Varias;16.1;13:00;34;6.1;13.9;05:30;;;;;
1989-01-06;B569X;CAPDEPERA;ILLES BALEARS;66;13.0;0.0;9.6;Varias;16.3;10:30;25;6.7;12.5;11:20;;;;;
1989-01-07;B569X;CAPDEPERA;ILLES BALEARS;66;15.4;0.0;12.1;Varias;18.7;11:20;34;4.2;13.1;16:30;;;;;
1989-01-08;B569X;CAPDEPERA;ILLES BALEARS;66;15.7;0.0;11.8;07:00;19.6;11:50;19;3.1;12.2;14:40;;;;;
1989-01-09;B569X;CAPDEPERA;ILLES BALEARS;66;15.8;0.0;12.3;00:40;19.3;11:50;17;5.0;8.9;18:20;;;;;
1989-01-10;B569X;CAPDEPERA;ILLES BALEARS;66;15.6;0.0;13.5;23:20;17.6;12:30;16;5.6;11.4;08:50;;;;;
1989-01-11;B569X;CAPDEPERA;ILLES BALEARS;66;15.8;0.0;13.9;00:00;17.6;11:30;16;2.2;7.2;Varias;;;;;
1989-01-12;B569X;CAPDEPERA;ILLES BALEARS;66;16.1;0.1;13.2;23:59;19.0;11:40;17;2.5;6.7;Varias;;;;;
1989-01-13;B569X;CAPDEPERA;ILLES BALEARS;66;14.4;0.0;13.0;02:30;15.8;09:40;02;1.4;7.5;Varias;;;;;
1989-01-14;B569X;CAPDEPERA;ILLES BALEARS;66;14.2;0.0;13.1;Varias;15.4;09:10;01;3.9;9.2;18:50;;;;;
1989-01-15;B569X;CAPDEPERA;ILLES BALEARS;66;14.5;0.0;12.7;Varias;16.3;13:00;02;5.0;12.2;19:10;;;;;
1989-01-16;B569X;CAPDEPERA;ILLES BALEARS;66;14.0;0.0;12.5;01:40;15.6;09:30;01;3.9;11.4;19:50;;;;;
1989-01-17;B569X;CAPDEPERA;ILLES BALEARS;66;13.4;0.0;12.8;20:10;14.1;Varias;02;2.8;10.8;Varias;;;;;
1989-01-18;B569X;CAPDEPERA;ILLES BALEARS;66;12.4;0.0;11.6;17:40;13.2;Varias;01;9.7;19.2;10:00;;;;;
1989-01-19;B569X;CAPDEPERA;ILLES BALEARS;66;12.8;0.9;11.8;Varias;13.9;13:00;34;3.1;11.7;00:10;;;;;
