FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1944-01-01;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-02;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-03;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-04;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-05;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;Ip;;;;;;;;;;;;;
1944-01-06;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;3.0;;;;;;;;;;;;;
1944-01-07;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-08;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-09;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-10;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-11;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-12;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-13;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-14;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-15;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-16;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-17;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-18;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-19;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-20;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-21;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-22;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-23;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-24;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-25;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-26;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-27;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-28;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-29;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-30;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-01-31;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-01;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-02;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-03;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-04;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-05;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-06;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-07;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-08;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-09;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.2;;;;;;;;;;;;;
1944-02-10;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-11;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-12;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-13;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-14;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;Ip;;;;;;;;;;;;;
1944-02-15;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;Ip;;;;;;;;;;;;;
1944-02-16;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-17;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;3.4;;;;;;;;;;;;;
1944-02-18;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;10.8;;;;;;;;;;;;;
1944-02-19;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-20;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;18.2;;;;;;;;;;;;;
1944-02-21;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;38.6;;;;;;;;;;;;;
1944-02-22;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;0.0;;;;;;;;;;;;;
1944-02-23;B954;IBIZA, AEROPUERTO;ILLES BALEARS;6;;Ip;;;;;;;;;;;;;
