FECHA;INDICATIVO;NOMBRE;PROVINCIA;ALTITUD;TMEDIA;PRECIPITACION;TMIN;HORATMIN;TMAX;HORATMAX;DIR;VELMEDIA;RACHA;HORARACHA;SOL;PRESMAX;HORAPRESMAX;PRESMIN;HORAPRESMIN
1993-02-01;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;8.1;12.8;15:00;;;;;
1993-02-02;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;9.7;15.8;11:15;;;;;
1993-02-03;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;6.9;13.1;12:20;;;;;
1993-02-04;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;4.7;10.0;15:00;;;;;
1993-02-05;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;5.8;10.0;17:25;;;;;
1993-02-06;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;5.0;10.0;16:30;;;;;
1993-02-07;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;3.9;10.8;14:20;;;;;
1993-02-08;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;5.6;10.8;02:00;;;;;
1993-02-09;C229J;PÁJARA;LAS PALMAS;15;;;;;;;30;4.7;8.9;18:15;;;;;
1993-02-10;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;5.0;8.1;15:00;;;;;
1993-02-11;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;6.4;13.1;12:50;;;;;
1993-02-12;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;7.5;13.1;13:15;;;;;
1993-02-13;C229J;PÁJARA;LAS PALMAS;15;;;;;;;06;6.1;10.0;03:30;;;;;
1993-02-14;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;6.4;10.8;11:25;;;;;
1993-02-15;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;8.6;15.0;21:20;;;;;
1993-02-16;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;6.7;11.9;04:40;;;;;
1993-02-17;C229J;PÁJARA;LAS PALMAS;15;;;;;;;07;8.6;15.0;01:40;;;;;
1993-02-18;C229J;PÁJARA;LAS PALMAS;15;;;;;;;07;6.7;13.9;04:50;;;;;
1993-02-19;C229J;PÁJARA;LAS PALMAS;15;;;;;;;27;2.5;5.8;07:50;;;;;
1993-02-20;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;3.3;5.8;09:30;;;;;
1993-02-21;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;7.2;20.8;19:20;;;;;
1993-02-22;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;15.0;23.1;22:10;;;;;
1993-02-23;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;10.0;18.1;13:05;;;;;
1993-02-24;C229J;PÁJARA;LAS PALMAS;15;;;;;;;34;7.8;13.1;17:00;;;;;
1993-02-25;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;4.4;8.1;10:20;;;;;
1993-02-26;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;8.9;15.8;16:40;;;;;
1993-02-27;C229J;PÁJARA;LAS PALMAS;15;;;;;;;06;5.6;13.1;14:10;;;;;
1993-02-28;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;8.1;15.0;06:00;;;;;
1993-03-01;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;6.9;15.0;14:40;;;;;
1993-03-02;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;6.9;11.1;02:25;;;;;
1993-03-03;C229J;PÁJARA;LAS PALMAS;15;;;;;;;25;5.0;13.9;23:40;;;;;
1993-03-04;C229J;PÁJARA;LAS PALMAS;15;;;;;;;25;10.8;15.0;22:30;;;;;
1993-03-05;C229J;PÁJARA;LAS PALMAS;15;;;;;;;25;6.7;11.9;01:50;;;;;
1993-03-06;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;4.4;10.0;23:55;;;;;
1993-03-07;C229J;PÁJARA;LAS PALMAS;15;;;;;;;32;10.3;16.9;13:30;;;;;
1993-03-08;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;9.7;15.0;16:00;;;;;
1993-03-09;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;3.6;10.0;16:20;;;;;
1993-03-10;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;5.3;10.0;17:55;;;;;
1993-03-11;C229J;PÁJARA;LAS PALMAS;15;;;;;;;03;3.3;5.8;06:00;;;;;
1993-03-12;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;4.4;10.0;21:20;;;;;
1993-03-13;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;11.1;22.8;06:15;;;;;
1993-03-14;C229J;PÁJARA;LAS PALMAS;15;;;;;;;25;5.3;10.0;18:20;;;;;
1993-03-15;C229J;PÁJARA;LAS PALMAS;15;;;;;;;30;6.4;13.9;13:20;;;;;
1993-03-16;C229J;PÁJARA;LAS PALMAS;15;;;;;;;15;3.9;6.9;05:20;;;;;
1993-03-17;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;11.7;20.8;17:40;;;;;
1993-03-18;C229J;PÁJARA;LAS PALMAS;15;;;;;;;15;4.7;8.9;01:25;;;;;
1993-03-19;C229J;PÁJARA;LAS PALMAS;15;;;;;;;09;4.2;8.9;15:15;;;;;
1993-03-20;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;4.7;10.8;15:00;;;;;
1993-03-21;C229J;PÁJARA;LAS PALMAS;15;;;;;;;24;2.2;8.9;01:30;;;;;
1993-03-22;C229J;PÁJARA;LAS PALMAS;15;;;;;;;07;5.6;11.9;07:20;;;;;
1993-03-23;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;5.6;13.1;17:15;;;;;
1993-03-24;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;3.6;10.8;20:20;;;;;
1993-03-25;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;9.2;13.1;18:20;;;;;
1993-03-26;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;6.9;15.0;15:10;;;;;
1993-03-27;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;7.2;16.9;22:25;;;;;
1993-03-28;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;8.9;15.0;02:15;;;;;
1993-03-29;C229J;PÁJARA;LAS PALMAS;15;;;;;;;34;8.3;15.8;15:20;;;;;
1993-03-30;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;11.4;16.9;18:00;;;;;
1993-03-31;C229J;PÁJARA;LAS PALMAS;15;;;;;;;33;9.7;18.9;15:00;;;;;
1993-04-01;C229J;PÁJARA;LAS PALMAS;15;;;;;;;36;6.1;15.8;22:15;;;;;
